method,file_size,time
fastread,1024,390006
fastread,1024,460493
fastread,1024,492509
fastread,1024,474572
fastread,1024,372147
fastread,1024,469833
fastread,1024,476166
fastread,1024,476410
fastread,1024,498930
fastread,1024,475618
fastread,1024,481849
fastread,1024,482769
fastread,1024,334546
fastread,1024,491559
fastread,1024,493703
fastread,1024,473367
fastread,1024,460838
fastread,1024,473680
fastread,1024,479969
fastread,1024,377952
fastread,1024,384157
fastread,1024,480225
fastread,1024,498540
fastread,1024,306911
fastread,1024,485455
fastread,1024,367228
fastread,1024,349951
fastread,1024,319696
fastread,1024,298762
fastread,1024,293581
fastread,1024,292918
fastread,1024,300876
fastread,1024,294471
fastread,1024,292383
fastread,1024,287392
fastread,1024,292143
fastread,1024,291007
fastread,1024,299852
fastread,1024,346533
fastread,1024,276100
fastread,1024,306618
fastread,1024,306824
fastread,1024,308060
fastread,1024,310649
fastread,1024,307749
fastread,1024,309175
fastread,1024,308170
fastread,1024,310030
fastread,1024,341057
fastread,1024,311280
fastread,1024,302407
fastread,1024,318442
fastread,1024,302303
fastread,1024,311323
fastread,1024,301815
fastread,1024,305219
fastread,1024,308787
fastread,1024,311531
fastread,1024,333746
fastread,1024,273860
fastread,1024,271691
fastread,1024,384708
fastread,1024,253566
fastread,1024,244208
fastread,1024,242709
fastread,1024,242659
fastread,1024,254577
fastread,1024,241470
fastread,1024,241239
fastread,1024,175239
fastread,1024,254431
fastread,1024,244370
fastread,1024,176696
fastread,1024,168051
fastread,1024,254735
fastread,1024,253028
fastread,1024,231186
fastread,1024,137893
fastread,1024,138655
fastread,1024,263377
fastread,1024,255103
fastread,1024,268326
fastread,1024,237869
fastread,1024,271681
fastread,1024,194746
fastread,1024,262101
fastread,1024,164381
fastread,1024,159847
fastread,1024,160957
fastread,1024,163353
fastread,1024,205203
fastread,1024,302408
fastread,1024,266613
fastread,1024,161223
fastread,1024,162632
fastread,1024,160501
fastread,1024,161774
fastread,1024,163084
fastread,1024,162083
fastread,1024,160073
fastread,1024,164168
fastread,1024,163090
fastread,1024,166850
fastread,1024,137195
fastread,1024,135812
fastread,1024,136925
fastread,1024,140725
fastread,1024,136820
fastread,1024,185620
fastread,1024,238380
fastread,1024,121390
fastread,1024,114035
fastread,1024,206048
fastread,1024,243993
fastread,1024,137180
fastread,1024,137265
fastread,1024,138482
fastread,1024,109587
fastread,1024,107213
fastread,1024,107540
fastread,1024,112466
fastread,1024,107724
fastread,1024,114327
fastread,1024,106600
fastread,1024,107593
fastread,1024,106933
fastread,1024,114346
fastread,1024,110599
fastread,1024,113926
fastread,1024,107142
fastread,1024,113955
fastread,1024,114324
fastread,1024,107411
fastread,1024,114162
fastread,1024,149785
fastread,1024,217171
fastread,1024,106877
fastread,1024,108530
fastread,1024,107679
fastread,1024,107242
fastread,1024,107531
fastread,1024,106843
fastread,1024,119368
fastread,1024,109806
fastread,1024,106476
fastread,1024,107868
fastread,1024,114868
fastread,1024,115185
fastread,1024,106642
fastread,1024,107978
fastread,1024,107789
fastread,1024,107834
fastread,1024,107790
fastread,1024,108512
fastread,1024,108012
fastread,1024,107653
fastread,1024,106959
fastread,1024,107304
fastread,1024,107432
fastread,1024,107753
fastread,1024,106376
fastread,1024,106990
fastread,1024,107152
fastread,1024,107772
fastread,1024,114316
fastread,1024,115045
fastread,1024,149026
fastread,1024,216375
fastread,1024,107915
fastread,1024,113664
fastread,1024,114518
fastread,1024,111749
fastread,1024,106580
fastread,1024,124636
fastread,1024,221086
fastread,1024,112673
fastread,1024,113115
fastread,1024,107372
fastread,1024,115080
fastread,1024,114782
fastread,1024,115397
fastread,1024,108257
fastread,1024,107582
fastread,1024,106712
fastread,1024,107419
fastread,1024,107746
fastread,1024,115035
fastread,1024,105977
fastread,1024,108284
fastread,1024,106685
fastread,1024,108929
fastread,1024,107137
fastread,1024,107086
fastread,1024,114561
fastread,1024,115233
fastread,1024,113006
fastread,1024,157457
fastread,1024,217462
fastread,1024,111637
fastread,1024,119761
fastread,1024,115811
fastread,1024,138141
fastread,1024,221158
fastread,1024,109408
fastread,1024,113109
fastread,1024,107787
fastread,1024,109314
fastread,1024,106375
fastread,1024,114611
fastread,1024,115199
fastread,1024,114966
fastread,1024,107328
fastread,1024,108602
fastread,1024,106516
fastread,1024,108187
fastread,1024,114199
fastread,1024,107290
fastread,1024,107937
fastread,1024,107189
fastread,1024,107822
fastread,1024,106889
fastread,1024,107794
fastread,1024,144774
fastread,1024,212872
fastread,1024,109701
fastread,1024,108736
fastread,1024,106473
fastread,1024,109397
fastread,1024,107815
fastread,1024,107837
fastread,1024,107791
fastread,1024,107065
fastread,1024,108526
fastread,1024,108822
fastread,1024,115572
fastread,1024,106447
