method,file_size,time
fastread,1024,375462
fastread,1024,371366
fastread,1024,354485
fastread,1024,338721
fastread,1024,326315
fastread,1024,346829
fastread,1024,331485
fastread,1024,300247
fastread,1024,286487
fastread,1024,286590
fastread,1024,327113
fastread,1024,341422
fastread,1024,302293
fastread,1024,332365
fastread,1024,423675
fastread,1024,328268
fastread,1024,336050
fastread,1024,326469
fastread,1024,301881
fastread,1024,349976
fastread,1024,300359
fastread,1024,319108
fastread,1024,319904
fastread,1024,313141
fastread,1024,319552
fastread,1024,311236
fastread,1024,329411
fastread,1024,310280
fastread,1024,311006
fastread,1024,317051
fastread,1024,311769
fastread,1024,320091
fastread,1024,364016
fastread,1024,395451
fastread,1024,312208
fastread,1024,314948
fastread,1024,319748
fastread,1024,319823
fastread,1024,312939
fastread,1024,317410
fastread,1024,318082
fastread,1024,319004
fastread,1024,338818
fastread,1024,318625
fastread,1024,314191
fastread,1024,355878
fastread,1024,286546
fastread,1024,306869
fastread,1024,320049
fastread,1024,315890
fastread,1024,315673
fastread,1024,317541
fastread,1024,317946
fastread,1024,317544
fastread,1024,340239
fastread,1024,317618
fastread,1024,316811
fastread,1024,302742
fastread,1024,313006
fastread,1024,304967
fastread,1024,314056
fastread,1024,303031
fastread,1024,267122
fastread,1024,274741
fastread,1024,307463
fastread,1024,269069
fastread,1024,278259
fastread,1024,278424
fastread,1024,281447
fastread,1024,277288
fastread,1024,279163
fastread,1024,280024
fastread,1024,296759
fastread,1024,279506
fastread,1024,299442
fastread,1024,285563
fastread,1024,274604
fastread,1024,277582
fastread,1024,279335
fastread,1024,278446
fastread,1024,292347
fastread,1024,282442
fastread,1024,268250
fastread,1024,274681
fastread,1024,278620
fastread,1024,296740
fastread,1024,286247
fastread,1024,279101
fastread,1024,273044
fastread,1024,280667
fastread,1024,279632
fastread,1024,278213
fastread,1024,276778
fastread,1024,278816
fastread,1024,276328
fastread,1024,280904
fastread,1024,297772
fastread,1024,290122
fastread,1024,279303
fastread,1024,274702
fastread,1024,278117
fastread,1024,278223
fastread,1024,279268
fastread,1024,274664
fastread,1024,277411
fastread,1024,279513
fastread,1024,293048
fastread,1024,285872
fastread,1024,276776
fastread,1024,281170
fastread,1024,274449
fastread,1024,247763
fastread,1024,281248
fastread,1024,276647
fastread,1024,284741
fastread,1024,271428
fastread,1024,278464
fastread,1024,330186
fastread,1024,282123
fastread,1024,281804
fastread,1024,277647
fastread,1024,275733
fastread,1024,279315
fastread,1024,276778
fastread,1024,277720
fastread,1024,276577
fastread,1024,279312
fastread,1024,278838
fastread,1024,294613
fastread,1024,260502
fastread,1024,277359
fastread,1024,277267
fastread,1024,280189
fastread,1024,275315
fastread,1024,281867
fastread,1024,275082
fastread,1024,279188
fastread,1024,276151
fastread,1024,297091
fastread,1024,260204
fastread,1024,278797
fastread,1024,277844
fastread,1024,278397
fastread,1024,277499
fastread,1024,276931
fastread,1024,277563
fastread,1024,277094
fastread,1024,279062
fastread,1024,278167
fastread,1024,300264
fastread,1024,278934
fastread,1024,279276
fastread,1024,276163
fastread,1024,276331
fastread,1024,292776
fastread,1024,305915
fastread,1024,307168
fastread,1024,265888
fastread,1024,276012
fastread,1024,274144
fastread,1024,280964
fastread,1024,276589
fastread,1024,276364
fastread,1024,281222
fastread,1024,297346
fastread,1024,285751
fastread,1024,279933
fastread,1024,254167
fastread,1024,245735
fastread,1024,247028
fastread,1024,275751
fastread,1024,277613
fastread,1024,277566
fastread,1024,279128
fastread,1024,338547
fastread,1024,291825
fastread,1024,292196
fastread,1024,276286
fastread,1024,273989
fastread,1024,277960
