method,file_size,time
fastread,1024,375228
fastread,1024,340460
fastread,1024,357850
fastread,1024,311576
fastread,1024,279907
fastread,1024,289613
fastread,1024,274199
fastread,1024,291042
fastread,1024,269613
fastread,1024,276015
fastread,1024,277885
fastread,1024,283949
fastread,1024,268007
fastread,1024,271600
fastread,1024,303669
fastread,1024,265880
fastread,1024,277444
fastread,1024,277581
fastread,1024,282614
fastread,1024,265646
fastread,1024,252972
fastread,1024,257214
fastread,1024,275565
fastread,1024,278023
fastread,1024,282886
fastread,1024,276340
fastread,1024,278633
fastread,1024,251896
fastread,1024,252696
fastread,1024,251785
fastread,1024,257595
fastread,1024,273235
fastread,1024,257688
fastread,1024,289382
fastread,1024,266000
fastread,1024,285070
fastread,1024,277927
fastread,1024,296433
fastread,1024,335273
fastread,1024,319082
fastread,1024,309985
fastread,1024,326558
fastread,1024,297021
fastread,1024,277757
fastread,1024,279254
fastread,1024,287002
fastread,1024,287986
fastread,1024,284606
fastread,1024,286598
fastread,1024,259578
fastread,1024,283373
fastread,1024,279621
fastread,1024,277710
fastread,1024,277412
fastread,1024,253227
fastread,1024,273373
fastread,1024,279128
fastread,1024,270629
fastread,1024,276626
fastread,1024,267356
fastread,1024,259219
fastread,1024,305160
fastread,1024,261031
fastread,1024,262904
fastread,1024,267438
fastread,1024,264327
fastread,1024,257930
fastread,1024,253276
fastread,1024,255660
fastread,1024,256027
fastread,1024,277456
fastread,1024,257421
fastread,1024,261654
fastread,1024,245960
fastread,1024,290852
fastread,1024,326069
fastread,1024,320312
fastread,1024,360429
fastread,1024,334650
fastread,1024,328937
fastread,1024,322373
fastread,1024,309231
fastread,1024,316505
fastread,1024,361735
fastread,1024,359476
fastread,1024,348792
fastread,1024,377855
fastread,1024,393290
fastread,1024,390533
fastread,1024,371096
fastread,1024,396226
fastread,1024,406677
fastread,1024,394922
fastread,1024,344471
fastread,1024,315838
fastread,1024,338729
fastread,1024,314899
fastread,1024,333972
fastread,1024,349621
fastread,1024,323976
fastread,1024,328621
fastread,1024,335569
fastread,1024,297797
fastread,1024,304221
fastread,1024,436345
fastread,1024,368489
fastread,1024,444256
fastread,1024,463579
fastread,1024,463680
fastread,1024,467084
fastread,1024,454467
fastread,1024,379787
fastread,1024,447375
fastread,1024,403996
fastread,1024,362393
fastread,1024,402892
fastread,1024,454547
fastread,1024,491701
fastread,1024,466683
fastread,1024,465919
fastread,1024,460735
fastread,1024,409125
fastread,1024,463548
fastread,1024,465376
fastread,1024,366749
fastread,1024,308660
fastread,1024,452494
fastread,1024,349018
fastread,1024,453351
fastread,1024,397758
fastread,1024,473901
fastread,1024,487910
fastread,1024,472452
fastread,1024,469183
fastread,1024,462915
fastread,1024,466054
fastread,1024,462102
fastread,1024,392468
fastread,1024,461359
fastread,1024,462642
fastread,1024,462790
fastread,1024,462115
fastread,1024,461266
fastread,1024,498915
fastread,1024,483559
fastread,1024,381675
fastread,1024,444625
fastread,1024,464873
fastread,1024,481835
fastread,1024,371573
fastread,1024,466641
fastread,1024,462887
fastread,1024,487486
fastread,1024,506103
fastread,1024,459097
fastread,1024,476102
fastread,1024,404556
fastread,1024,477699
fastread,1024,486131
fastread,1024,471885
fastread,1024,459713
fastread,1024,403180
fastread,1024,470719
fastread,1024,477275
fastread,1024,478122
fastread,1024,511830
fastread,1024,473038
fastread,1024,460124
fastread,1024,460137
fastread,1024,407602
fastread,1024,343438
fastread,1024,448704
fastread,1024,486752
fastread,1024,471325
fastread,1024,345374
fastread,1024,457845
fastread,1024,465087
fastread,1024,447735
fastread,1024,403493
fastread,1024,468130
fastread,1024,461425
fastread,1024,462810
fastread,1024,471647
fastread,1024,457400
fastread,1024,464230
fastread,1024,394661
fastread,1024,468449
fastread,1024,455473
fastread,1024,464000
fastread,1024,460476
fastread,1024,466401
fastread,1024,506856
fastread,1024,414707
fastread,1024,505768
fastread,1024,456732
fastread,1024,460413
fastread,1024,337202
fastread,1024,444635
fastread,1024,486482
fastread,1024,469379
fastread,1024,466107
fastread,1024,318104
fastread,1024,467028
fastread,1024,467427
fastread,1024,393744
fastread,1024,463381
fastread,1024,462105
fastread,1024,467685
fastread,1024,463362
fastread,1024,391867
fastread,1024,453300
fastread,1024,488392
fastread,1024,470615
fastread,1024,460787
fastread,1024,339045
fastread,1024,465760
fastread,1024,466010
fastread,1024,395872
fastread,1024,497659
fastread,1024,408336
fastread,1024,469976
fastread,1024,461608
fastread,1024,468278
fastread,1024,461961
fastread,1024,465003
fastread,1024,407235
fastread,1024,462555
fastread,1024,467153
fastread,1024,468235
fastread,1024,462314
fastread,1024,463690
fastread,1024,489196
fastread,1024,472153
fastread,1024,372559
fastread,1024,464683
fastread,1024,494536
fastread,1024,366303
fastread,1024,466172
fastread,1024,353668
fastread,1024,489864
fastread,1024,456787
fastread,1024,394564
fastread,1024,448886
fastread,1024,462034
fastread,1024,482142
fastread,1024,467433
fastread,1024,469307
fastread,1024,462450
fastread,1024,464431
fastread,1024,379158
fastread,1024,457882
fastread,1024,474901
fastread,1024,465192
fastread,1024,473659
fastread,1024,457033
fastread,1024,464122
fastread,1024,469352
fastread,1024,402359
fastread,1024,473047
fastread,1024,452008
fastread,1024,465554
fastread,1024,465252
fastread,1024,462660
fastread,1024,483633
fastread,1024,471928
fastread,1024,402199
fastread,1024,474762
fastread,1024,334858
fastread,1024,462078
fastread,1024,465895
fastread,1024,484806
fastread,1024,473279
fastread,1024,357126
fastread,1024,359827
fastread,1024,456814
fastread,1024,416111
fastread,1024,476696
fastread,1024,461769
fastread,1024,480897
fastread,1024,440974
fastread,1024,380558
fastread,1024,377110
fastread,1024,493899
fastread,1024,460589
fastread,1024,467282
fastread,1024,466095
fastread,1024,485183
fastread,1024,469288
fastread,1024,466984
fastread,1024,408768
fastread,1024,461971
fastread,1024,460747
fastread,1024,465603
fastread,1024,479327
fastread,1024,465855
fastread,1024,464997
fastread,1024,467215
fastread,1024,371484
fastread,1024,333738
fastread,1024,354029
fastread,1024,398547
fastread,1024,443793
fastread,1024,359527
fastread,1024,450976
fastread,1024,459768
fastread,1024,413601
fastread,1024,474085
fastread,1024,476923
fastread,1024,473091
fastread,1024,461114
fastread,1024,466608
fastread,1024,352673
fastread,1024,452923
fastread,1024,376457
fastread,1024,457880
fastread,1024,352714
fastread,1024,456056
fastread,1024,476453
fastread,1024,453660
fastread,1024,463314
fastread,1024,470748
fastread,1024,385088
fastread,1024,477389
fastread,1024,465072
fastread,1024,353716
fastread,1024,445133
fastread,1024,464736
fastread,1024,464879
fastread,1024,482665
fastread,1024,417566
fastread,1024,307833
fastread,1024,479680
fastread,1024,444471
fastread,1024,485015
fastread,1024,384114
fastread,1024,374669
fastread,1024,316145
fastread,1024,321066
fastread,1024,289816
fastread,1024,299170
fastread,1024,300627
fastread,1024,303850
fastread,1024,285969
fastread,1024,385577
fastread,1024,444525
fastread,1024,388814
fastread,1024,447647
fastread,1024,302753
fastread,1024,398379
fastread,1024,424148
fastread,1024,477030
fastread,1024,458046
fastread,1024,446919
fastread,1024,386956
fastread,1024,448472
fastread,1024,444580
fastread,1024,462205
fastread,1024,479252
fastread,1024,454417
fastread,1024,458993
fastread,1024,433088
fastread,1024,389225
fastread,1024,448480
fastread,1024,447223
fastread,1024,473784
fastread,1024,447182
fastread,1024,448398
fastread,1024,444748
fastread,1024,450262
fastread,1024,378785
fastread,1024,457654
fastread,1024,470598
fastread,1024,358976
fastread,1024,454112
fastread,1024,446014
fastread,1024,442556
fastread,1024,446196
fastread,1024,388810
fastread,1024,470271
fastread,1024,458265
fastread,1024,470249
fastread,1024,332461
fastread,1024,429592
fastread,1024,449453
fastread,1024,445125
fastread,1024,385948
fastread,1024,434529
fastread,1024,443865
fastread,1024,444370
fastread,1024,448842
fastread,1024,446524
fastread,1024,442272
fastread,1024,503639
fastread,1024,385217
fastread,1024,468401
fastread,1024,343471
fastread,1024,439145
fastread,1024,447998
fastread,1024,455182
fastread,1024,367458
fastread,1024,466816
fastread,1024,391158
fastread,1024,450229
fastread,1024,440034
fastread,1024,456889
fastread,1024,468462
fastread,1024,464871
fastread,1024,448305
fastread,1024,440410
fastread,1024,395847
fastread,1024,447787
fastread,1024,443323
fastread,1024,457532
fastread,1024,439821
fastread,1024,459994
fastread,1024,455499
fastread,1024,446586
fastread,1024,340429
fastread,1024,463112
fastread,1024,440864
fastread,1024,448246
fastread,1024,444070
fastread,1024,447563
fastread,1024,446558
fastread,1024,472518
fastread,1024,481692
fastread,1024,439521
fastread,1024,440078
fastread,1024,443157
fastread,1024,447320
fastread,1024,444610
fastread,1024,468853
fastread,1024,450081
fastread,1024,393338
fastread,1024,457392
fastread,1024,462273
fastread,1024,443104
fastread,1024,447522
fastread,1024,487000
fastread,1024,465074
fastread,1024,451027
fastread,1024,356698
fastread,1024,447308
fastread,1024,444763
fastread,1024,445301
fastread,1024,482218
fastread,1024,395546
fastread,1024,448884
fastread,1024,447821
fastread,1024,370166
fastread,1024,432277
fastread,1024,445995
fastread,1024,474430
fastread,1024,447520
fastread,1024,445478
fastread,1024,450222
fastread,1024,442690
fastread,1024,394451
fastread,1024,344916
fastread,1024,480751
fastread,1024,450393
fastread,1024,442460
fastread,1024,433032
fastread,1024,347632
fastread,1024,457325
fastread,1024,350039
fastread,1024,459801
fastread,1024,293685
fastread,1024,434082
fastread,1024,447117
fastread,1024,445870
fastread,1024,438855
fastread,1024,454182
fastread,1024,369669
fastread,1024,444757
fastread,1024,453039
fastread,1024,441363
fastread,1024,449985
fastread,1024,452809
fastread,1024,465551
fastread,1024,470994
fastread,1024,390066
fastread,1024,450496
fastread,1024,447719
fastread,1024,441814
fastread,1024,274537
fastread,1024,307120
fastread,1024,439289
fastread,1024,471633
fastread,1024,318329
fastread,1024,427294
fastread,1024,443700
fastread,1024,450931
